Country,Total Cases,Total Deaths,Total Recovered
USA,"188,639","4,059","7,251"
Italy,"105,792","12,428","15,729"
Spain,"102,136","9,053","22,647"
China,"81,554","3,312","76,238"
Germany,"72,383",788,"16,100"
France,"52,128","3,523","9,444"
Iran,"47,593","3,036","15,473"
UK,"25,150","1,789",135
Switzerland,"16,605",433,"2,967"
Belgium,"13,964",828,"2,132"
Turkey,"13,531",214,243
Netherlands,"12,595","1,039",250
Austria,"10,387",146,"1,095"
S. Korea,"9,887",165,"5,567"
Canada,"8,612",101,"1,242"
Portugal,"7,443",160,43
Brazil,"5,812",202,127
Israel,"5,591",21,226
Australia,"4,862",21,345
Norway,"4,699",40,13
Sweden,"4,435",180,16
Czechia,"3,330",32,45
Ireland,"3,235",71,5
Malaysia,"2,908",45,645
Denmark,"2,860",90,1
Russia,"2,777",24,190
Chile,"2,738",12,156
Romania,"2,460",85,252
Poland,"2,347",35,7
Philippines,"2,311",96,50
Ecuador,"2,302",79,58
Japan,"2,178",57,472
Luxembourg,"2,178",23,80
Pakistan,"2,042",26,82
Thailand,"1,771",12,416
Indonesia,"1,677",157,103
India,"1,590",45,148
Saudi Arabia,"1,563",10,165
Finland,"1,446",17,10
South Africa,"1,353",5,50
Greece,"1,314",49,52
Mexico,"1,215",29,35
Panama,"1,181",30,9
Iceland,"1,135",2,198
Dominican Republic,"1,109",51,5
Peru,"1,065",30,394
Argentina,"1,054",27,240
Singapore,926,3,240
Colombia,906,16,31
Serbia,900,23,42
Croatia,867,6,67
Slovenia,841,15,10
Qatar,781,2,62
Estonia,779,5,33
Hong Kong,765,4,147
Algeria,716,44,46
Diamond Princess,712,11,603
Egypt,710,46,157
New Zealand,708,1,83
Iraq,694,50,170
Ukraine,669,17,10
UAE,664,6,61
Morocco,638,36,24
Lithuania,581,8,7
Armenia,571,3,31
Bahrain,567,4,316
Hungary,525,20,40
Lebanon,479,12,37
Bosnia and Herzegovina,450,13,17
Latvia,446,,1
Bulgaria,412,8,20
Slovakia,400,,3
Tunisia,394,10,3
Andorra,376,12,10
Kazakhstan,369,3,24
Azerbaijan,359,5,26
Moldova,353,4,22
Costa Rica,347,2,4
Uruguay,338,1,41
North Macedonia,329,9,12
Taiwan,329,5,45
Kuwait,317,,80
Jordan,274,5,30
Cyprus,262,8,23
Burkina Faso,261,14,32
Albania,259,15,52
Réunion,247,,1
San Marino,236,26,13
Cameroon,233,6,10
Vietnam,212,,63
Oman,210,1,34
Afghanistan,196,4,5
Ghana,195,5,31
Senegal,190,1,45
Malta,188,,2
Cuba,186,6,8
Ivory Coast,179,1,7
Uzbekistan,173,2,8
Faeroe Islands,173,,75
Honduras,172,10,3
Belarus,163,2,53
Channel Islands,159,3,
Mauritius,147,5,
Venezuela,143,3,41
Sri Lanka,143,2,18
Nigeria,139,2,9
Palestine,134,1,18
Brunei,131,1,52
Martinique,128,3,27
Montenegro,120,2,
Bolivia,115,7,1
Georgia,115,,23
Guadeloupe,114,4,22
Kyrgyzstan,111,,3
DRC,109,8,2
Cambodia,109,,25
Mayotte,94,1,10
Trinidad and Tobago,89,4,1
Rwanda,75,,
Paraguay,69,3,1
Gibraltar,69,,34
Liechtenstein,68,,
Isle of Man,65,,
Kenya,59,1,3
Madagascar,57,,
Aruba,55,,1
Bangladesh,54,6,25
Monaco,52,1,2
French Guiana,51,,15
Uganda,44,,
Macao,41,,10
Guatemala,39,1,12
Jamaica,38,2,2
French Polynesia,37,,
Zambia,36,,
Niger,34,3,
Togo,34,1,10
Barbados,34,,
El Salvador,32,1,
Bermuda,32,,10
Djibouti,30,,
Ethiopia,29,,2
Mali,28,2,
Guinea,22,,
Tanzania,19,1,1
Congo,19,,
Gabon,18,1,
Maldives,18,,13
Sint Maarten,16,1,6
Haiti,16,,1
New Caledonia,16,,
Myanmar,15,1,
Saint Martin,15,1,2
Bahamas,15,,1
Equatorial Guinea,15,,1
Eritrea,15,,
Cayman Islands,14,1,
Mongolia,14,,2
Saint Lucia,13,,1
Guyana,12,2,
Dominica,12,,
Curaçao,11,1,2
Namibia,11,,2
Syria,10,2,
Greenland,10,,2
Laos,10,,
Libya,10,,1
Seychelles,10,,
Suriname,10,,
Benin,9,,1
Grenada,9,,
Eswatini,9,,
Zimbabwe,8,1,
Guinea-Bissau,8,,
Mozambique,8,,
Saint Kitts and Nevis,8,,
Angola,7,2,1
Sudan,7,2,1
Antigua and Barbuda,7,,
Chad,7,,
Cabo Verde,6,1,
Mauritania,6,1,2
Vatican City,6,,
Liberia,6,,
St. Barth,6,,1
Nicaragua,5,1,
Nepal,5,,1
Fiji,5,,
Montserrat,5,,
Somalia,5,,1
Turks and Caicos,5,,
Botswana,4,1,
Gambia,4,1,
Bhutan,4,,
Belize,3,,
British Virgin Islands,3,,
CAR,3,,
MS Zaandam,2,,
Anguilla,2,,
Burundi,2,,
Caribbean Netherlands,2,,
Papua New Guinea,1,,
St. Vincent Grenadines,1,,1
Sierra Leone,1,,
Timor-Leste,1,,
